"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","529","should login successfully with valid credentials @smoke undefined","mobile","Tue Mar 17 11:20:40 UTC 2026","passed","Tue Mar 17 11:20:41 UTC 2026","Conduit API: Authentication @conduit @api","api/conduit-auth.spec.js","",""
"","3398","should register, login and create an article @smoke @article","desktop","Tue Mar 17 11:20:06 UTC 2026","passed","Tue Mar 17 11:20:10 UTC 2026","Conduit: Authenticated Flow @conduit @article undefined","e2e/articles/conduit-article.spec.js","",""
"","5563","should verify feed tabs are visible on dashboard @smoke","mobile","Tue Mar 17 11:21:36 UTC 2026","passed","Tue Mar 17 11:21:42 UTC 2026","Dashboard Tests (Authenticated) @conduit @dashboard @auth","e2e/dashboard/dashboard.spec.js","",""
"","2163","should access dashboard with dynamically created session @smoke","desktop","Tue Mar 17 11:20:10 UTC 2026","passed","Tue Mar 17 11:20:12 UTC 2026","Conduit: Dynamic Auth Session @conduit @auth","e2e/auth/conduit-dynamic-session.spec.js","",""
"","169","should fetch articles from global feed @regression @api","desktop","Tue Mar 17 11:20:05 UTC 2026","passed","Tue Mar 17 11:20:06 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.js","",""
"","7183","should create a new article using existing session @regression @article","desktop","Tue Mar 17 11:20:31 UTC 2026","failed","Tue Mar 17 11:20:38 UTC 2026","Conduit: Authenticated Session @conduit undefined","e2e/auth/conduit-session.spec.js","",""
"","4339","should register a new user @regression","mobile","Tue Mar 17 11:21:32 UTC 2026","passed","Tue Mar 17 11:21:36 UTC 2026","Conduit: Account Setup @conduit @signup","e2e/auth/registration.spec.js","",""
"","1165","should load login page @smoke","desktop","Tue Mar 17 11:20:40 UTC 2026","passed","Tue Mar 17 11:20:41 UTC 2026","Login Tests (No Auth) @conduit @login","e2e/auth/login.spec.js","",""
"","171","should return 404 for non-existent endpoint @regression @api","desktop","Tue Mar 17 11:20:06 UTC 2026","passed","Tue Mar 17 11:20:06 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.js","",""
"","6467","should fetch all tags @smoke","mobile","Tue Mar 17 11:20:32 UTC 2026","passed","Tue Mar 17 11:20:38 UTC 2026","Conduit API: Public Endpoints @conduit @api","api/conduit-api.spec.js","",""
"","273","should login successfully with valid credentials @smoke undefined","desktop","Tue Mar 17 11:20:06 UTC 2026","passed","Tue Mar 17 11:20:06 UTC 2026","Conduit API: Authentication @conduit @api","api/conduit-auth.spec.js","",""
"","4290","should show error on invalid login @regression @login","mobile","Tue Mar 17 11:21:27 UTC 2026","passed","Tue Mar 17 11:21:32 UTC 2026","Login Tests (No Auth) @conduit @login","e2e/auth/login.spec.js","",""
